date,account_id,campaign_id,campaign_name,impressions,clicks,spend_micros,conversions
2025-04-20,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,100584,1378,1215176952,21
2025-04-20,111-222-3333,g-0022,Drama Collection Prospecting West Google,110949,1520,1340552351,23
2025-04-20,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,121387,1663,1465927751,25
2025-04-20,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,131752,1805,1591303151,27
2025-04-20,111-222-3333,g-0025,Kids and Family Winback South Google 25,142117,1947,1716678551,29
2025-04-21,111-222-3333,g-0001,Top Gun: Maverick Push,210511,2884,2495918325,42
2025-04-21,111-222-3333,g-0002,Transformers: Rise of the Beasts,201679,2763,2391921728,40
2025-04-21,111-222-3333,g-0003,Comedy Classics Retargeting East Google,92117,1262,1091964267,18
2025-04-21,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,101606,1392,1204627247,20
2025-04-21,111-222-3333,g-0005,Kids and Family Winback South Google,111095,1522,1317290227,22
2025-04-21,111-222-3333,g-0006,Reality Launch Awareness US Google,120584,1652,1429953207,24
2025-04-21,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,130073,1782,1542616187,26
2025-04-21,111-222-3333,g-0008,Movie Night Retargeting East Google,139562,1912,1655279167,28
2025-04-21,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,149051,2042,1767942147,30
2025-04-21,111-222-3333,g-0010,Live Events Winback South Google,73066,1001,866638307,15
2025-04-21,111-222-3333,g-0011,Library Retention Awareness US Google,82555,1131,979301287,16
2025-04-21,111-222-3333,g-0012,Premium Bundle Prospecting West Google,92117,1262,1091964267,18
2025-04-21,111-222-3333,g-0013,Student Offer Retargeting East Google,101606,1392,1204627247,20
2025-04-21,111-222-3333,g-0014,Family Plan Trial Midwest Google,111095,1522,1317290227,22
2025-04-21,111-222-3333,g-0015,Winback Audience Winback South Google,120584,1652,1429953207,24
2025-04-21,111-222-3333,g-0016,New Release Awareness US Google,130073,1782,1542616187,26
2025-04-21,111-222-3333,g-0017,Binge Weekend Prospecting West Google,139562,1912,1655279167,28
2025-04-21,111-222-3333,g-0018,Award Season Retargeting East Google,149051,2042,1767942147,30
2025-04-21,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,73066,1001,866638307,15
2025-04-21,111-222-3333,g-0020,International Pack Winback South Google,82555,1131,979301287,16
2025-04-21,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,92117,1262,1091964267,18
2025-04-21,111-222-3333,g-0022,Drama Collection Prospecting West Google,101606,1392,1204627247,20
2025-04-21,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,111095,1522,1317290227,22
2025-04-21,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,120584,1652,1429953207,24
2025-04-21,111-222-3333,g-0025,Kids and Family Winback South Google 25,130073,1782,1542616187,26
2025-04-22,111-222-3333,g-0001,Top Gun: Maverick Push,276131,3783,3215211120,53
2025-04-22,111-222-3333,g-0002,Transformers: Rise of the Beasts,264599,3625,3081243990,51
2025-04-22,111-222-3333,g-0003,Comedy Classics Retargeting East Google,120803,1655,1406654865,23
2025-04-22,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,133285,1826,1551785923,26
2025-04-22,111-222-3333,g-0005,Kids and Family Winback South Google,145693,1996,1696916980,28
2025-04-22,111-222-3333,g-0006,Reality Launch Awareness US Google,158175,2167,1842048038,30
2025-04-22,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,170657,2338,1987179095,33
2025-04-22,111-222-3333,g-0008,Movie Night Retargeting East Google,183139,2509,2132310153,35
2025-04-22,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,195547,2679,2277441210,38
2025-04-22,111-222-3333,g-0010,Live Events Winback South Google,95839,1313,1116392750,18
2025-04-22,111-222-3333,g-0011,Library Retention Awareness US Google,108321,1484,1261523808,21
2025-04-22,111-222-3333,g-0012,Premium Bundle Prospecting West Google,120803,1655,1406654865,23
2025-04-22,111-222-3333,g-0013,Student Offer Retargeting East Google,133285,1826,1551785923,26
2025-04-22,111-222-3333,g-0014,Family Plan Trial Midwest Google,145693,1996,1696916980,28
2025-04-22,111-222-3333,g-0015,Winback Audience Winback South Google,158175,2167,1842048038,30
2025-04-22,111-222-3333,g-0016,New Release Awareness US Google,170657,2338,1987179095,33
2025-04-22,111-222-3333,g-0017,Binge Weekend Prospecting West Google,183139,2509,2132310153,35
2025-04-22,111-222-3333,g-0018,Award Season Retargeting East Google,195547,2679,2277441210,38
2025-04-22,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,95839,1313,1116392750,18
2025-04-22,111-222-3333,g-0020,International Pack Winback South Google,108321,1484,1261523808,21
2025-04-22,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,120803,1655,1406654865,23
2025-04-22,111-222-3333,g-0022,Drama Collection Prospecting West Google,133285,1826,1551785923,26
2025-04-22,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,145693,1996,1696916980,28
2025-04-22,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,158175,2167,1842048038,30
2025-04-22,111-222-3333,g-0025,Kids and Family Winback South Google 25,170657,2338,1987179095,33
2025-04-23,111-222-3333,g-0001,Top Gun: Maverick Push,220949,3027,2527849050,41
2025-04-23,111-222-3333,g-0002,Transformers: Rise of the Beasts,211752,2901,2422522006,39
2025-04-23,111-222-3333,g-0003,Comedy Classics Retargeting East Google,96715,1325,1105933959,18
2025-04-23,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,106642,1461,1220038257,20
2025-04-23,111-222-3333,g-0005,Kids and Family Winback South Google,116642,1598,1334142554,22
2025-04-23,111-222-3333,g-0006,Reality Launch Awareness US Google,126569,1734,1448246852,24
2025-04-23,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,136569,1871,1562351149,25
2025-04-23,111-222-3333,g-0008,Movie Night Retargeting East Google,146569,2008,1676455446,27
2025-04-23,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,156496,2144,1790559744,29
2025-04-23,111-222-3333,g-0010,Live Events Winback South Google,76715,1051,877725365,14
2025-04-23,111-222-3333,g-0011,Library Retention Awareness US Google,86715,1188,991829662,16
2025-04-23,111-222-3333,g-0012,Premium Bundle Prospecting West Google,96715,1325,1105933959,18
2025-04-23,111-222-3333,g-0013,Student Offer Retargeting East Google,106642,1461,1220038257,20
2025-04-23,111-222-3333,g-0014,Family Plan Trial Midwest Google,116642,1598,1334142554,22
2025-04-23,111-222-3333,g-0015,Winback Audience Winback South Google,126569,1734,1448246852,24
2025-04-23,111-222-3333,g-0016,New Release Awareness US Google,136569,1871,1562351149,25
2025-04-23,111-222-3333,g-0017,Binge Weekend Prospecting West Google,146569,2008,1676455446,27
2025-04-23,111-222-3333,g-0018,Award Season Retargeting East Google,156496,2144,1790559744,29
2025-04-23,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,76715,1051,877725365,14
2025-04-23,111-222-3333,g-0020,International Pack Winback South Google,86715,1188,991829662,16
2025-04-23,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,96715,1325,1105933959,18
2025-04-23,111-222-3333,g-0022,Drama Collection Prospecting West Google,106642,1461,1220038257,20
2025-04-23,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,116642,1598,1334142554,22
2025-04-23,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,126569,1734,1448246852,24
2025-04-23,111-222-3333,g-0025,Kids and Family Winback South Google 25,136569,1871,1562351149,25
2025-04-24,111-222-3333,g-0001,Top Gun: Maverick Push,226277,3100,2543814412,41
2025-04-24,111-222-3333,g-0002,Transformers: Rise of the Beasts,216861,2971,2437822145,39
2025-04-24,111-222-3333,g-0003,Comedy Classics Retargeting East Google,98978,1356,1112918805,18
2025-04-24,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,109197,1496,1227743762,20
2025-04-24,111-222-3333,g-0005,Kids and Family Winback South Google,119416,1636,1342568718,21
2025-04-24,111-222-3333,g-0006,Reality Launch Awareness US Google,129635,1776,1457393674,23
2025-04-24,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,139854,1916,1572218630,25
2025-04-24,111-222-3333,g-0008,Movie Night Retargeting East Google,150073,2056,1687043586,27
2025-04-24,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,160292,2196,1801868542,29
2025-04-24,111-222-3333,g-0010,Live Events Winback South Google,78613,1077,883268893,14
2025-04-24,111-222-3333,g-0011,Library Retention Awareness US Google,88832,1217,998093849,16
2025-04-24,111-222-3333,g-0012,Premium Bundle Prospecting West Google,98978,1356,1112918805,18
2025-04-24,111-222-3333,g-0013,Student Offer Retargeting East Google,109197,1496,1227743762,20
2025-04-24,111-222-3333,g-0014,Family Plan Trial Midwest Google,119416,1636,1342568718,21
2025-04-24,111-222-3333,g-0015,Winback Audience Winback South Google,129635,1776,1457393674,23
2025-04-24,111-222-3333,g-0016,New Release Awareness US Google,139854,1916,1572218630,25
2025-04-24,111-222-3333,g-0017,Binge Weekend Prospecting West Google,150073,2056,1687043586,27
2025-04-24,111-222-3333,g-0018,Award Season Retargeting East Google,160292,2196,1801868542,29
2025-04-24,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,78613,1077,883268893,14
2025-04-24,111-222-3333,g-0020,International Pack Winback South Google,88832,1217,998093849,16
2025-04-24,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,98978,1356,1112918805,18
2025-04-24,111-222-3333,g-0022,Drama Collection Prospecting West Google,109197,1496,1227743762,20
2025-04-24,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,119416,1636,1342568718,21
2025-04-24,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,129635,1776,1457393674,23
2025-04-24,111-222-3333,g-0025,Kids and Family Winback South Google 25,139854,1916,1572218630,25
2025-04-25,111-222-3333,g-0001,Top Gun: Maverick Push,259489,3555,2866953348,45
2025-04-25,111-222-3333,g-0002,Transformers: Rise of the Beasts,248686,3407,2747496958,43
2025-04-25,111-222-3333,g-0003,Comedy Classics Retargeting East Google,113504,1555,1254292090,20
2025-04-25,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,125255,1716,1383703178,22
2025-04-25,111-222-3333,g-0005,Kids and Family Winback South Google,136934,1876,1513114267,24
2025-04-25,111-222-3333,g-0006,Reality Launch Awareness US Google,148686,2037,1642525355,26
2025-04-25,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,160365,2197,1771936444,28
2025-04-25,111-222-3333,g-0008,Movie Night Retargeting East Google,172117,2358,1901347533,30
2025-04-25,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,183796,2518,2030758621,32
2025-04-25,111-222-3333,g-0010,Live Events Winback South Google,90073,1234,995469912,16
2025-04-25,111-222-3333,g-0011,Library Retention Awareness US Google,101825,1395,1124881001,18
2025-04-25,111-222-3333,g-0012,Premium Bundle Prospecting West Google,113504,1555,1254292090,20
2025-04-25,111-222-3333,g-0013,Student Offer Retargeting East Google,125255,1716,1383703178,22
2025-04-25,111-222-3333,g-0014,Family Plan Trial Midwest Google,136934,1876,1513114267,24
2025-04-25,111-222-3333,g-0015,Winback Audience Winback South Google,148686,2037,1642525355,26
2025-04-25,111-222-3333,g-0016,New Release Awareness US Google,160365,2197,1771936444,28
2025-04-25,111-222-3333,g-0017,Binge Weekend Prospecting West Google,172117,2358,1901347533,30
2025-04-25,111-222-3333,g-0018,Award Season Retargeting East Google,183796,2518,2030758621,32
2025-04-25,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,90073,1234,995469912,16
2025-04-25,111-222-3333,g-0020,International Pack Winback South Google,101825,1395,1124881001,18
2025-04-25,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,113504,1555,1254292090,20
2025-04-25,111-222-3333,g-0022,Drama Collection Prospecting West Google,125255,1716,1383703178,22
2025-04-25,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,136934,1876,1513114267,24
2025-04-25,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,148686,2037,1642525355,26
2025-04-25,111-222-3333,g-0025,Kids and Family Winback South Google 25,160365,2197,1771936444,28
2025-04-26,111-222-3333,g-0001,Top Gun: Maverick Push,234380,3211,2884834554,50
2025-04-26,111-222-3333,g-0002,Transformers: Rise of the Beasts,224599,3077,2764633114,48
2025-04-26,111-222-3333,g-0003,Comedy Classics Retargeting East Google,102555,1405,1262115117,22
2025-04-26,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,113139,1550,1392333344,24
2025-04-26,111-222-3333,g-0005,Kids and Family Winback South Google,123723,1695,1522551570,27
2025-04-26,111-222-3333,g-0006,Reality Launch Awareness US Google,134234,1839,1652769796,29
2025-04-26,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,144818,1984,1782988023,31
2025-04-26,111-222-3333,g-0008,Movie Night Retargeting East Google,155401,2129,1913206249,33
2025-04-26,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,165985,2274,2043424476,36
2025-04-26,111-222-3333,g-0010,Live Events Winback South Google,81387,1115,1001678664,17
2025-04-26,111-222-3333,g-0011,Library Retention Awareness US Google,91971,1260,1131896891,20
2025-04-26,111-222-3333,g-0012,Premium Bundle Prospecting West Google,102555,1405,1262115117,22
2025-04-26,111-222-3333,g-0013,Student Offer Retargeting East Google,113139,1550,1392333344,24
2025-04-26,111-222-3333,g-0014,Family Plan Trial Midwest Google,123723,1695,1522551570,27
2025-04-26,111-222-3333,g-0015,Winback Audience Winback South Google,134234,1839,1652769796,29
2025-04-26,111-222-3333,g-0016,New Release Awareness US Google,144818,1984,1782988023,31
2025-04-26,111-222-3333,g-0017,Binge Weekend Prospecting West Google,155401,2129,1913206249,33
2025-04-26,111-222-3333,g-0018,Award Season Retargeting East Google,165985,2274,2043424476,36
2025-04-26,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,81387,1115,1001678664,17
2025-04-26,111-222-3333,g-0020,International Pack Winback South Google,91971,1260,1131896891,20
2025-04-26,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,102555,1405,1262115117,22
2025-04-26,111-222-3333,g-0022,Drama Collection Prospecting West Google,113139,1550,1392333344,24
2025-04-26,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,123723,1695,1522551570,27
2025-04-26,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,134234,1839,1652769796,29
2025-04-26,111-222-3333,g-0025,Kids and Family Winback South Google 25,144818,1984,1782988023,31
2025-04-27,111-222-3333,g-0001,Top Gun: Maverick Push,240292,3292,2902715760,50
2025-04-27,111-222-3333,g-0002,Transformers: Rise of the Beasts,230292,3155,2781769270,48
2025-04-27,111-222-3333,g-0003,Comedy Classics Retargeting East Google,105109,1440,1269938145,22
2025-04-27,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,115985,1589,1400963509,24
2025-04-27,111-222-3333,g-0005,Kids and Family Winback South Google,126788,1737,1531988873,26
2025-04-27,111-222-3333,g-0006,Reality Launch Awareness US Google,137664,1886,1663014237,28
2025-04-27,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,148540,2035,1794039601,31
2025-04-27,111-222-3333,g-0008,Movie Night Retargeting East Google,159343,2183,1925064966,33
2025-04-27,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,170219,2332,2056090330,35
2025-04-27,111-222-3333,g-0010,Live Events Winback South Google,83431,1143,1007887417,17
2025-04-27,111-222-3333,g-0011,Library Retention Awareness US Google,94307,1292,1138912781,20
2025-04-27,111-222-3333,g-0012,Premium Bundle Prospecting West Google,105109,1440,1269938145,22
2025-04-27,111-222-3333,g-0013,Student Offer Retargeting East Google,115985,1589,1400963509,24
2025-04-27,111-222-3333,g-0014,Family Plan Trial Midwest Google,126788,1737,1531988873,26
2025-04-27,111-222-3333,g-0015,Winback Audience Winback South Google,137664,1886,1663014237,28
2025-04-27,111-222-3333,g-0016,New Release Awareness US Google,148540,2035,1794039601,31
2025-04-27,111-222-3333,g-0017,Binge Weekend Prospecting West Google,159343,2183,1925064966,33
2025-04-27,111-222-3333,g-0018,Award Season Retargeting East Google,170219,2332,2056090330,35
2025-04-27,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,83431,1143,1007887417,17
2025-04-27,111-222-3333,g-0020,International Pack Winback South Google,94307,1292,1138912781,20
2025-04-27,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,105109,1440,1269938145,22
2025-04-27,111-222-3333,g-0022,Drama Collection Prospecting West Google,115985,1589,1400963509,24
2025-04-27,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,126788,1737,1531988873,26
2025-04-27,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,137664,1886,1663014237,28
2025-04-27,111-222-3333,g-0025,Kids and Family Winback South Google 25,148540,2035,1794039601,31
2025-04-28,111-222-3333,g-0001,Top Gun: Maverick Push,219927,3013,2607675862,44
2025-04-28,111-222-3333,g-0002,Transformers: Rise of the Beasts,210730,2887,2499022701,42
2025-04-28,111-222-3333,g-0003,Comedy Classics Retargeting East Google,96204,1318,1140858190,19
2025-04-28,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,106131,1454,1258565781,21
2025-04-28,111-222-3333,g-0005,Kids and Family Winback South Google,116058,1590,1376273372,23
2025-04-28,111-222-3333,g-0006,Reality Launch Awareness US Google,125985,1726,1493980963,25
2025-04-28,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,135912,1862,1611688554,27
2025-04-28,111-222-3333,g-0008,Movie Night Retargeting East Google,145839,1998,1729396145,29
2025-04-28,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,155766,2134,1847103736,31
2025-04-28,111-222-3333,g-0010,Live Events Winback South Google,76350,1046,905443008,15
2025-04-28,111-222-3333,g-0011,Library Retention Awareness US Google,86277,1182,1023150599,17
2025-04-28,111-222-3333,g-0012,Premium Bundle Prospecting West Google,96204,1318,1140858190,19
2025-04-28,111-222-3333,g-0013,Student Offer Retargeting East Google,106131,1454,1258565781,21
2025-04-28,111-222-3333,g-0014,Family Plan Trial Midwest Google,116058,1590,1376273372,23
2025-04-28,111-222-3333,g-0015,Winback Audience Winback South Google,125985,1726,1493980963,25
2025-04-28,111-222-3333,g-0016,New Release Awareness US Google,135912,1862,1611688554,27
2025-04-28,111-222-3333,g-0017,Binge Weekend Prospecting West Google,145839,1998,1729396145,29
2025-04-28,111-222-3333,g-0018,Award Season Retargeting East Google,155766,2134,1847103736,31
2025-04-28,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,76350,1046,905443008,15
2025-04-28,111-222-3333,g-0020,International Pack Winback South Google,86277,1182,1023150599,17
2025-04-28,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,96204,1318,1140858190,19
2025-04-28,111-222-3333,g-0022,Drama Collection Prospecting West Google,106131,1454,1258565781,21
2025-04-28,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,116058,1590,1376273372,23
2025-04-28,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,125985,1726,1493980963,25
2025-04-28,111-222-3333,g-0025,Kids and Family Winback South Google 25,135912,1862,1611688554,27
2025-04-29,111-222-3333,g-0001,Top Gun: Maverick Push,288394,3951,3358260767,56
2025-04-29,111-222-3333,g-0002,Transformers: Rise of the Beasts,276350,3786,3218333235,53
2025-04-29,111-222-3333,g-0003,Comedy Classics Retargeting East Google,126204,1729,1469239086,24
2025-04-29,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,139197,1907,1620827245,27
2025-04-29,111-222-3333,g-0005,Kids and Family Winback South Google,152190,2085,1772415405,29
2025-04-29,111-222-3333,g-0006,Reality Launch Awareness US Google,165255,2264,1924003565,32
2025-04-29,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,178248,2442,2075591724,34
2025-04-29,111-222-3333,g-0008,Movie Night Retargeting East Google,191241,2620,2227179884,37
2025-04-29,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,204307,2799,2378768044,39
2025-04-29,111-222-3333,g-0010,Live Events Winback South Google,100146,1372,1166062766,19
2025-04-29,111-222-3333,g-0011,Library Retention Awareness US Google,113139,1550,1317650926,22
2025-04-29,111-222-3333,g-0012,Premium Bundle Prospecting West Google,126204,1729,1469239086,24
2025-04-29,111-222-3333,g-0013,Student Offer Retargeting East Google,139197,1907,1620827245,27
2025-04-29,111-222-3333,g-0014,Family Plan Trial Midwest Google,152190,2085,1772415405,29
2025-04-29,111-222-3333,g-0015,Winback Audience Winback South Google,165255,2264,1924003565,32
2025-04-29,111-222-3333,g-0016,New Release Awareness US Google,178248,2442,2075591724,34
2025-04-29,111-222-3333,g-0017,Binge Weekend Prospecting West Google,191241,2620,2227179884,37
2025-04-29,111-222-3333,g-0018,Award Season Retargeting East Google,204307,2799,2378768044,39
2025-04-29,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,100146,1372,1166062766,19
2025-04-29,111-222-3333,g-0020,International Pack Winback South Google,113139,1550,1317650926,22
2025-04-29,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,126204,1729,1469239086,24
2025-04-29,111-222-3333,g-0022,Drama Collection Prospecting West Google,139197,1907,1620827245,27
